CpG island 	 4714 .. 5242 	 size=529 
CpG island 	 13955 .. 14277 	 size=323 
CpG island 	 18344 .. 18608 	 size=265 
CpG island 	 19053 .. 19450 	 size=398 
CpG island 	 32029 .. 32301 	 size=273 
CpG island 	 59545 .. 60158 	 size=614 
CpG island 	 60264 .. 60496 	 size=233 
CpG island 	 62096 .. 62531 	 size=436 
CpG island 	 78609 .. 78972 	 size=364 
CpG island 	 79305 .. 79653 	 size=349 
CpG island 	 79898 .. 80148 	 size=251 
CpG island 	 81828 .. 82224 	 size=397 
CpG island 	 82526 .. 82770 	 size=245 
CpG island 	 91263 .. 91533 	 size=271 
CpG island 	 94053 .. 94345 	 size=293 
CpG island 	 105466 .. 105715 	 size=250 
CpG island 	 116773 .. 117024 	 size=252 
CpG island 	 117331 .. 117534 	 size=204 
CpG island 	 120106 .. 120440 	 size=335 
CpG island 	 132463 .. 132667 	 size=205 
CpG island 	 134402 .. 134681 	 size=280 
CpG island 	 135041 .. 135789 	 size=749 
CpG island 	 135861 .. 136198 	 size=338 
CpG island 	 136431 .. 136630 	 size=200 
CpG island 	 137132 .. 137867 	 size=736 
CpG island 	 138024 .. 138229 	 size=206 
CpG island 	 139066 .. 139271 	 size=206 
CpG island 	 159901 .. 160293 	 size=393 
CpG island 	 172211 .. 173671 	 size=1461 
CpG island 	 180076 .. 180589 	 size=514 
CpG island 	 194122 .. 194476 	 size=355 
CpG island 	 194793 .. 195432 	 size=640 
CpG island 	 195838 .. 196652 	 size=815 
CpG island 	 196717 .. 197044 	 size=328 
CpG island 	 197148 .. 197352 	 size=205 
CpG island 	 197384 .. 197766 	 size=383 
CpG island 	 198978 .. 200009 	 size=1032 
CpG island 	 203015 .. 203410 	 size=396 
CpG island 	 213254 .. 213605 	 size=352 
CpG island 	 222228 .. 222625 	 size=398 
CpG island 	 224605 .. 224824 	 size=220 
CpG island 	 227904 .. 228193 	 size=290 
CpG island 	 235380 .. 235704 	 size=325 
CpG island 	 244471 .. 244736 	 size=266 
CpG island 	 256662 .. 256909 	 size=248 
CpG island 	 261839 .. 262122 	 size=284 
CpG island 	 273585 .. 273971 	 size=387 
CpG island 	 277962 .. 278364 	 size=403 
CpG island 	 287803 .. 288023 	 size=221 
CpG island 	 289915 .. 290166 	 size=252 
CpG island 	 308502 .. 308890 	 size=389 
CpG island 	 311030 .. 311286 	 size=257 
CpG island 	 321018 .. 321339 	 size=322 
CpG island 	 337192 .. 337502 	 size=311 
CpG island 	 337802 .. 338009 	 size=208 
CpG island 	 338152 .. 338548 	 size=397 
CpG island 	 339231 .. 339467 	 size=237 
CpG island 	 360847 .. 361158 	 size=312 
CpG island 	 361377 .. 361584 	 size=208 
CpG island 	 361594 .. 361924 	 size=331 
CpG island 	 387113 .. 387466 	 size=354 
CpG island 	 406093 .. 406301 	 size=209 
CpG island 	 430541 .. 430806 	 size=266 
CpG island 	 431701 .. 432225 	 size=525 
CpG island 	 438832 .. 439234 	 size=403 
CpG island 	 442951 .. 443263 	 size=313 
CpG island 	 451749 .. 452015 	 size=267 
CpG island 	 453585 .. 453866 	 size=282 
CpG island 	 455696 .. 456177 	 size=482 
CpG island 	 461654 .. 461987 	 size=334 
CpG island 	 463436 .. 463710 	 size=275 
CpG island 	 478983 .. 479430 	 size=448 
CpG island 	 479810 .. 480189 	 size=380 
CpG island 	 490417 .. 490787 	 size=371 
CpG island 	 493881 .. 496114 	 size=2234 
CpG island 	 496229 .. 497369 	 size=1141 
CpG island 	 497384 .. 498002 	 size=619 
CpG island 	 498292 .. 498888 	 size=597 
CpG island 	 498924 .. 499901 	 size=978 
CpG island 	 499924 .. 500264 	 size=341 
CpG island 	 563225 .. 563455 	 size=231 
CpG island 	 593172 .. 593563 	 size=392 
CpG island 	 599865 .. 600151 	 size=287 
CpG island 	 603954 .. 604159 	 size=206 
CpG island 	 606377 .. 606576 	 size=200 
CpG island 	 613882 .. 614107 	 size=226 
CpG island 	 614311 .. 614664 	 size=354 
CpG island 	 632521 .. 632767 	 size=247 
CpG island 	 692742 .. 692963 	 size=222 
CpG island 	 698257 .. 698526 	 size=270 
CpG island 	 701204 .. 701437 	 size=234 
CpG island 	 743262 .. 743631 	 size=370 
CpG island 	 744427 .. 744736 	 size=310 
